"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1641 0.000043 0.000043 79.480043 79.480043
1707 0.000036 0.000036 79.480036 79.480036
1740 0.000019 0.000019 79.480019 79.480019
1818 0.000013 0.000013 79.480013 79.480013
1987 0.000012 0.000012 79.480012 79.480012
1998 0.000004 0.000004 79.480004 79.480004
2139 0.000004 0.000004 79.480004 79.480004
2536 0.000003 0.000003 79.480003 79.480003
2553 0.000003 0.000003 79.480003 79.480003
2618 0.000002 0.000002 79.480002 79.480002
2671 0.000001 0.000001 79.480001 79.480001
2741 0.000001 0.000001 79.480001 79.480001
3223 0.000000 0.000000 79.480000 79.480000
3224 0.000000 0.000000 79.480000 79.480000
3297 0.000000 0.000000 79.480000 79.480000
3392 0.000000 0.000000 79.480000 79.480000
3501 0.000000 0.000000 79.480000 79.480000
3521 0.000000 0.000000 79.480000 79.480000
3545 0.000000 0.000000 79.480000 79.480000
3749 0.000000 0.000000 79.480000 79.480000
3812 0.000000 0.000000 79.480000 79.480000
3814 0.000000 0.000000 79.480000 79.480000
3828 0.000000 0.000000 79.480000 79.480000
3836 0.000000 0.000000 79.480000 79.480000
3894 0.000000 0.000000 79.480000 79.480000
3900 0.000001 0.000000 79.480001 79.480000
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 16.281290 16.281290 95.761290 95.761290
50 15.575464 15.575464 95.055464 95.055464
123 14.927382 14.927382 94.407382 94.407382
138 14.225611 14.225611 93.705611 93.705611
197 14.050757 14.050757 93.530757 93.530757
225 13.810033 13.810033 93.290033 93.290033
255 13.381568 13.381568 92.861568 92.861568
261 13.249460 13.249460 92.729460 92.729460
265 13.053230 13.053230 92.533230 92.533230
277 12.874477 12.874477 92.354477 92.354477
280 12.048522 12.048522 91.528522 91.528522
324 11.944828 11.944828 91.424828 91.424828
342 11.852770 11.852770 91.332770 91.332770
343 11.728095 11.728095 91.208095 91.208095
350 10.646647 10.646647 90.126647 90.126647
361 10.119265 10.119265 89.599265 89.599265
365 10.018908 10.018908 89.498908 89.498908
371 9.759560 9.759560 89.239560 89.239560
381 9.032991 9.032991 88.512991 88.512991
390 9.004177 9.004177 88.484177 88.484177
400 8.928824 8.928824 88.408824 88.408824
401 8.925992 8.925992 88.405992 88.405992
402 8.557574 8.557574 88.037574 88.037574
413 8.554466 8.554466 88.034466 88.034466
414 8.424934 8.424934 87.904934 87.904934
417 8.395914 8.395914 87.875914 87.875914
421 7.988233 7.988233 87.468233 87.468233
427 7.926892 7.926892 87.406892 87.406892
442 7.409150 7.409150 86.889150 86.889150
464 7.192638 7.192638 86.672638 86.672638
465 7.012070 7.012070 86.492070 86.492070
483 6.976260 6.976260 86.456260 86.456260
486 6.692004 6.692004 86.172004 86.172004
496 6.522385 6.522385 86.002385 86.002385
503 6.375724 6.375724 85.855724 85.855724
521 6.229406 6.229406 85.709406 85.709406
531 6.111566 6.111566 85.591566 85.591566
534 6.012000 6.012000 85.492000 85.492000
542 5.859022 5.859022 85.339022 85.339022
554 5.703363 5.703363 85.183363 85.183363
563 5.690564 5.690564 85.170564 85.170564
567 5.458474 5.458474 84.938474 84.938474
578 5.425972 5.425972 84.905972 84.905972
584 5.294008 5.294008 84.774008 84.774008
601 5.006619 5.006619 84.486619 84.486619
624 4.916892 4.916892 84.396892 84.396892
636 4.701436 4.701436 84.181436 84.181436
649 4.629137 4.629137 84.109137 84.109137
662 4.493529 4.493529 83.973529 83.973529
663 4.342170 4.342170 83.822170 83.822170
665 4.264400 4.264400 83.744400 83.744400
681 4.220950 4.220950 83.700950 83.700950
682 4.009090 4.009090 83.489090 83.489090
693 3.973042 3.973042 83.453042 83.453042
703 3.814688 3.814688 83.294688 83.294688
707 3.794499 3.794499 83.274499 83.274499
708 3.759880 3.759880 83.239880 83.239880
723 3.682982 3.682982 83.162982 83.162982
728 3.652667 3.652667 83.132667 83.132667
737 3.534378 3.534378 83.014378 83.014378
748 3.485286 3.485286 82.965286 82.965286
749 3.332026 3.332026 82.812026 82.812026
762 3.240536 3.240536 82.720536 82.720536
771 3.215601 3.215601 82.695601 82.695601
773 3.128779 3.128779 82.608779 82.608779
777 3.120573 3.120573 82.600573 82.600573
783 3.005500 3.005500 82.485500 82.485500
790 3.001463 3.001463 82.481463 82.481463
794 2.945243 2.945243 82.425243 82.425243
803 2.858347 2.858347 82.338347 82.338347
804 2.806749 2.806749 82.286749 82.286749
807 2.786103 2.786103 82.266103 82.266103
821 2.522211 2.522211 82.002211 82.002211
847 2.464726 2.464726 81.944726 81.944726
867 2.335081 2.335081 81.815081 81.815081
882 2.297725 2.297725 81.777725 81.777725
885 2.258435 2.258435 81.738435 81.738435
887 2.203996 2.203996 81.683996 81.683996
893 2.159259 2.159259 81.639259 81.639259
894 2.157967 2.157967 81.637967 81.637967
901 1.976337 1.976337 81.456337 81.456337
922 1.956404 1.956404 81.436404 81.436404
928 1.913210 1.913210 81.393210 81.393210
929 1.894358 1.894358 81.374358 81.374358
931 1.808168 1.808168 81.288168 81.288168
946 1.806511 1.806511 81.286511 81.286511
950 1.798047 1.798047 81.278047 81.278047
963 1.796242 1.796242 81.276242 81.276242
965 1.754286 1.754286 81.234286 81.234286
966 1.670273 1.670273 81.150273 81.150273
981 1.637651 1.637651 81.117651 81.117651
983 1.550996 1.550996 81.030996 81.030996
1019 1.491833 1.491833 80.971833 80.971833
1024 1.441637 1.441637 80.921637 80.921637
1027 1.437813 1.437813 80.917813 80.917813
1039 1.435456 1.435456 80.915456 80.915456
1041 1.367505 1.367505 80.847505 80.847505
1061 1.299039 1.299039 80.779039 80.779039
1064 1.292029 1.292029 80.772029 80.772029
1067 1.268780 1.268780 80.748780 80.748780
1071 1.211203 1.211203 80.691203 80.691203
1090 1.152691 1.152691 80.632691 80.632691
1106 1.137761 1.137761 80.617761 80.617761
1122 1.127609 1.127609 80.607609 80.607609
1124 1.118731 1.118731 80.598731 80.598731
1128 1.100021 1.100021 80.580021 80.580021
1135 1.077992 1.077992 80.557992 80.557992
1142 0.996835 0.996835 80.476835 80.476835
1174 0.995722 0.995722 80.475722 80.475722
1175 0.992064 0.992064 80.472064 80.472064
1178 0.967553 0.967553 80.447553 80.447553
1183 0.950732 0.950732 80.430732 80.430732
1185 0.941728 0.941728 80.421728 80.421728
1190 0.882137 0.882137 80.362137 80.362137
1201 0.845163 0.845163 80.325163 80.325163
1202 0.777943 0.777943 80.257943 80.257943
1223 0.760634 0.760634 80.240634 80.240634
1228 0.734355 0.734355 80.214355 80.214355
1242 0.732543 0.732543 80.212543 80.212543
1243 0.723671 0.723671 80.203671 80.203671
1246 0.714453 0.714453 80.194453 80.194453
1252 0.713231 0.713231 80.193231 80.193231
1261 0.686882 0.686882 80.166882 80.166882
1269 0.666549 0.666549 80.146549 80.146549
1281 0.643672 0.643672 80.123672 80.123672
1288 0.635900 0.635900 80.115900 80.115900
1301 0.608026 0.608026 80.088026 80.088026
1306 0.604215 0.604215 80.084215 80.084215
1321 0.598482 0.598482 80.078482 80.078482
1326 0.577989 0.577989 80.057989 80.057989
1342 0.559715 0.559715 80.039715 80.039715
1346 0.556746 0.556746 80.036746 80.036746
1348 0.546320 0.546320 80.026320 80.026320
1353 0.527135 0.527135 80.007135 80.007135
1364 0.506380 0.506380 79.986380 79.986380
1377 0.506054 0.506054 79.986054 79.986054
1381 0.495040 0.495040 79.975040 79.975040
1384 0.485328 0.485328 79.965328 79.965328
1385 0.465016 0.465016 79.945016 79.945016
1402 0.462970 0.462970 79.942970 79.942970
1403 0.450112 0.450112 79.930112 79.930112
1404 0.440329 0.440329 79.920329 79.920329
1424 0.426486 0.426486 79.906486 79.906486
1442 0.419471 0.419471 79.899471 79.899471
1443 0.418134 0.418134 79.898134 79.898134
1451 0.417346 0.417346 79.897346 79.897346
1452 0.401977 0.401977 79.881977 79.881977
1461 0.386847 0.386847 79.866847 79.866847
1469 0.378361 0.378361 79.858361 79.858361
1482 0.366456 0.366456 79.846456 79.846456
1501 0.366110 0.366110 79.846110 79.846110
1507 0.349445 0.349445 79.829445 79.829445
1523 0.344709 0.344709 79.824709 79.824709
1524 0.336413 0.336413 79.816413 79.816413
1540 0.324985 0.324985 79.804985 79.804985
1544 0.323514 0.323514 79.803514 79.803514
1545 0.323468 0.323468 79.803468 79.803468
1547 0.310294 0.310294 79.790294 79.790294
1561 0.307344 0.307344 79.787344 79.787344
1563 0.307333 0.307333 79.787333 79.787333
1564 0.303088 0.303088 79.783088 79.783088
1573 0.299386 0.299386 79.779386 79.779386
1576 0.294137 0.294137 79.774137 79.774137
1577 0.288872 0.288872 79.768872 79.768872
1581 0.287229 0.287229 79.767229 79.767229
1582 0.278663 0.278663 79.758663 79.758663
1600 0.262103 0.262103 79.742103 79.742103
1601 0.231736 0.231736 79.711736 79.711736
1641 0.228974 0.228974 79.708974 79.708974
1646 0.223698 0.223698 79.703698 79.703698
1647 0.223366 0.223366 79.703366 79.703366
1648 0.219243 0.219243 79.699243 79.699243
1663 0.210946 0.210946 79.690946 79.690946
1665 0.202157 0.202157 79.682157 79.682157
1683 0.199131 0.199131 79.679131 79.679131
1689 0.191427 0.191427 79.671427 79.671427
1690 0.187799 0.187799 79.667799 79.667799
1701 0.182933 0.182933 79.662933 79.662933
1713 0.170819 0.170819 79.650819 79.650819
1721 0.165951 0.165951 79.645951 79.645951
