"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
187 97.847790 97.847790 -364.242210 -364.242210
221 96.405944 96.405944 -365.684056 -365.684056
227 87.106344 87.106344 -374.983656 -374.983656
288 85.842280 85.842280 -376.247720 -376.247720
311 83.165034 83.165034 -378.924966 -378.924966
315 77.395065 77.395065 -384.694935 -384.694935
331 76.908190 76.908190 -385.181810 -385.181810
344 75.515864 75.515864 -386.574136 -386.574136
353 73.520431 73.520431 -388.569569 -388.569569
394 69.982817 69.982817 -392.107183 -392.107183
422 69.275387 69.275387 -392.814613 -392.814613
424 66.876832 66.876832 -395.213168 -395.213168
595 66.341926 66.341926 -395.748074 -395.748074
602 64.985826 64.985826 -397.104174 -397.104174
656 64.636419 64.636419 -397.453581 -397.453581
664 64.426558 64.426558 -397.663442 -397.663442
711 63.655617 63.655617 -398.434383 -398.434383
736 63.235542 63.235542 -398.854458 -398.854458
762 63.010060 63.010060 -399.079940 -399.079940
790 62.811222 62.811222 -399.278778 -399.278778
832 62.515487 62.515487 -399.574513 -399.574513
864 61.908573 61.908573 -400.181427 -400.181427
890 61.881436 61.881436 -400.208564 -400.208564
997 61.739020 61.739020 -400.350980 -400.350980
1369 61.718804 61.718804 -400.371196 -400.371196
1693 61.705373 61.705373 -400.384627 -400.384627
1949 61.705319 61.705319 -400.384681 -400.384681
1994 61.705312 61.705312 -400.384688 -400.384688
2005 61.694783 61.694783 -400.395217 -400.395217
2130 61.692867 61.692867 -400.397133 -400.397133
2188 61.691776 61.691776 -400.398224 -400.398224
2228 61.691021 61.691021 -400.398979 -400.398979
2349 61.688758 61.688758 -400.401242 -400.401242
2536 61.687507 61.687507 -400.402493 -400.402493
2656 61.687233 61.687233 -400.402767 -400.402767
2728 61.686868 61.686868 -400.403132 -400.403132
2964 61.686765 61.686765 -400.403235 -400.403235
3221 61.686579 61.686579 -400.403421 -400.403421
3419 61.686532 61.686532 -400.403468 -400.403468
3558 61.686491 61.686491 -400.403509 -400.403509
3709 61.686486 61.686486 -400.403514 -400.403514
3723 61.686459 61.686459 -400.403541 -400.403541
3848 61.686457 61.686457 -400.403543 -400.403543
4140 61.686448 61.686448 -400.403552 -400.403552
4503 61.686447 61.686447 -400.403553 -400.403553
4661 61.686447 61.686447 -400.403553 -400.403553
4767 61.686446 61.686446 -400.403554 -400.403554
4861 61.686446 61.686446 -400.403554 -400.403554
5333 61.686446 61.686446 -400.403554 -400.403554
5457 61.686446 61.686446 -400.403554 -400.403554
5503 61.686446 61.686446 -400.403554 -400.403554
5704 61.686445 61.686445 -400.403555 -400.403555
5890 61.686445 61.686445 -400.403555 -400.403555
6274 61.686445 61.686445 -400.403555 -400.403555
6278 61.686445 61.686445 -400.403555 -400.403555
6318 61.686445 61.686445 -400.403555 -400.403555
6331 61.686445 61.686445 -400.403555 -400.403555
6341 61.686445 61.686445 -400.403555 -400.403555
6358 61.686445 61.686445 -400.403555 -400.403555
6636 61.686445 61.686445 -400.403555 -400.403555
6745 61.686445 61.686445 -400.403555 -400.403555
6872 61.686445 61.686445 -400.403555 -400.403555
6927 61.686445 61.686445 -400.403555 -400.403555
7161 61.686445 61.686445 -400.403555 -400.403555
7396 61.686445 61.686445 -400.403555 -400.403555
7543 61.686445 61.686445 -400.403555 -400.403555
7603 61.686445 61.686445 -400.403555 -400.403555
7611 61.686445 61.686445 -400.403555 -400.403555
8021 61.686445 61.686445 -400.403555 -400.403555
8079 61.686445 61.686445 -400.403555 -400.403555
8082 61.686445 61.686445 -400.403555 -400.403555
8585 61.686445 61.686445 -400.403555 -400.403555
8642 61.686445 61.686445 -400.403555 -400.403555
8662 61.686445 61.686445 -400.403555 -400.403555
8800 61.686445 61.686445 -400.403555 -400.403555
8843 61.686445 61.686445 -400.403555 -400.403555
8910 61.686445 61.686445 -400.403555 -400.403555
8971 61.686445 61.686445 -400.403555 -400.403555
9156 61.686445 61.686445 -400.403555 -400.403555
9223 61.686445 61.686445 -400.403555 -400.403555
9395 61.686445 61.686445 -400.403555 -400.403555
9992 61.686445 61.686445 -400.403555 -400.403555
10609 61.686445 61.686445 -400.403555 -400.403555
50000 61.686445 61.686445 -400.403555 -400.403555
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 151.824879 151.824879 -310.265121 -310.265121
13 101.690384 101.690384 -360.399616 -360.399616
57 98.138948 98.138948 -363.951052 -363.951052
101 96.802447 96.802447 -365.287553 -365.287553
140 96.166624 96.166624 -365.923376 -365.923376
172 95.811028 95.811028 -366.278972 -366.278972
173 90.534522 90.534522 -371.555478 -371.555478
244 89.666254 89.666254 -372.423746 -372.423746
323 89.561000 89.561000 -372.529000 -372.529000
348 88.444858 88.444858 -373.645142 -373.645142
541 87.946740 87.946740 -374.143260 -374.143260
678 87.887522 87.887522 -374.202478 -374.202478
739 87.870704 87.870704 -374.219296 -374.219296
845 87.775387 87.775387 -374.314613 -374.314613
998 87.774390 87.774390 -374.315610 -374.315610
1031 87.716083 87.716083 -374.373917 -374.373917
1237 87.680634 87.680634 -374.409366 -374.409366
1245 87.662337 87.662337 -374.427663 -374.427663
1299 87.604706 87.604706 -374.485294 -374.485294
1301 87.600059 87.600059 -374.489941 -374.489941
1583 87.597858 87.597858 -374.492142 -374.492142
1643 87.570480 87.570480 -374.519520 -374.519520
1855 87.567765 87.567765 -374.522235 -374.522235
1900 87.562831 87.562831 -374.527169 -374.527169
2045 87.561208 87.561208 -374.528792 -374.528792
2121 87.559096 87.559096 -374.530904 -374.530904
2209 87.558207 87.558207 -374.531793 -374.531793
2247 87.557426 87.557426 -374.532574 -374.532574
2330 87.557308 87.557308 -374.532692 -374.532692
2425 87.556320 87.556320 -374.533680 -374.533680
2651 87.555854 87.555854 -374.534146 -374.534146
2703 87.555635 87.555635 -374.534365 -374.534365
2856 87.555496 87.555496 -374.534504 -374.534504
2914 87.555313 87.555313 -374.534687 -374.534687
3082 87.555241 87.555241 -374.534759 -374.534759
3086 87.555223 87.555223 -374.534777 -374.534777
3379 87.555162 87.555162 -374.534838 -374.534838
3587 87.555148 87.555148 -374.534852 -374.534852
3644 87.555125 87.555125 -374.534875 -374.534875
3951 87.555124 87.555124 -374.534876 -374.534876
3955 87.555122 87.555122 -374.534878 -374.534878
4187 87.555115 87.555115 -374.534885 -374.534885
4210 87.555112 87.555112 -374.534888 -374.534888
4331 87.555111 87.555111 -374.534889 -374.534889
4442 87.555109 87.555109 -374.534891 -374.534891
4457 87.555109 87.555109 -374.534891 -374.534891
4485 87.555108 87.555108 -374.534892 -374.534892
4975 87.555108 87.555108 -374.534892 -374.534892
4994 87.555108 87.555108 -374.534892 -374.534892
5057 87.555107 87.555107 -374.534893 -374.534893
5218 87.555107 87.555107 -374.534893 -374.534893
5362 87.555107 87.555107 -374.534893 -374.534893
5367 87.555107 87.555107 -374.534893 -374.534893
5765 87.555107 87.555107 -374.534893 -374.534893
5912 87.555107 87.555107 -374.534893 -374.534893
6061 87.555107 87.555107 -374.534893 -374.534893
6233 87.555107 87.555107 -374.534893 -374.534893
6263 87.555107 87.555107 -374.534893 -374.534893
6301 87.555107 87.555107 -374.534893 -374.534893
6529 87.555107 87.555107 -374.534893 -374.534893
6620 87.555107 87.555107 -374.534893 -374.534893
6820 87.555107 87.555107 -374.534893 -374.534893
6980 87.555107 87.555107 -374.534893 -374.534893
7025 87.555107 87.555107 -374.534893 -374.534893
7185 87.555107 87.555107 -374.534893 -374.534893
7196 87.555107 87.555107 -374.534893 -374.534893
7241 87.555107 87.555107 -374.534893 -374.534893
7426 87.555107 87.555107 -374.534893 -374.534893
7444 87.555107 87.555107 -374.534893 -374.534893
7451 87.555107 87.555107 -374.534893 -374.534893
7458 87.555107 87.555107 -374.534893 -374.534893
7595 87.555107 87.555107 -374.534893 -374.534893
7813 87.555107 87.555107 -374.534893 -374.534893
7903 87.555107 87.555107 -374.534893 -374.534893
8078 87.555107 87.555107 -374.534893 -374.534893
8087 87.555107 87.555107 -374.534893 -374.534893
8111 87.555107 87.555107 -374.534893 -374.534893
8134 87.555107 87.555107 -374.534893 -374.534893
8205 87.555107 87.555107 -374.534893 -374.534893
8315 87.555107 87.555107 -374.534893 -374.534893
8324 87.555107 87.555107 -374.534893 -374.534893
8446 87.555107 87.555107 -374.534893 -374.534893
8583 87.555107 87.555107 -374.534893 -374.534893
8607 87.555107 87.555107 -374.534893 -374.534893
8689 87.555107 87.555107 -374.534893 -374.534893
8832 87.555107 87.555107 -374.534893 -374.534893
9037 87.555107 87.555107 -374.534893 -374.534893
9251 87.555107 87.555107 -374.534893 -374.534893
9318 87.555107 87.555107 -374.534893 -374.534893
9566 87.555107 87.555107 -374.534893 -374.534893
9620 87.555107 87.555107 -374.534893 -374.534893
9626 87.555107 87.555107 -374.534893 -374.534893
9632 87.555107 87.555107 -374.534893 -374.534893
9697 87.555107 87.555107 -374.534893 -374.534893
9734 87.555107 87.555107 -374.534893 -374.534893
9993 87.555107 87.555107 -374.534893 -374.534893
10244 87.555107 87.555107 -374.534893 -374.534893
10249 87.555107 87.555107 -374.534893 -374.534893
50000 87.555107 87.555107 -374.534893 -374.534893
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 210.888216 210.888216 288.548216 288.548216
2 74.207793 74.207793 151.867793 151.867793
36 56.607084 56.607084 134.267084 134.267084
326 51.297309 51.297309 128.957309 128.957309
342 51.078674 51.078674 128.738674 128.738674
344 50.392999 50.392999 128.052999 128.052999
349 46.990447 46.990447 124.650447 124.650447
357 45.008755 45.008755 122.668755 122.668755
361 42.957906 42.957906 120.617906 120.617906
363 40.246955 40.246955 117.906955 117.906955
366 36.504957 36.504957 114.164957 114.164957
383 36.298346 36.298346 113.958346 113.958346
393 33.810520 33.810520 111.470520 111.470520
417 32.043986 32.043986 109.703986 109.703986
420 28.719078 28.719078 106.379078 106.379078
432 26.087227 26.087227 103.747227 103.747227
446 25.265594 25.265594 102.925594 102.925594
467 24.057052 24.057052 101.717052 101.717052
482 21.987965 21.987965 99.647965 99.647965
617 21.983222 21.983222 99.643222 99.643222
706 21.722516 21.722516 99.382516 99.382516
748 21.705669 21.705669 99.365669 99.365669
750 21.671909 21.671909 99.331909 99.331909
764 21.307687 21.307687 98.967687 98.967687
849 21.187572 21.187572 98.847572 98.847572
875 21.160338 21.160338 98.820338 98.820338
1097 21.123729 21.123729 98.783729 98.783729
1125 20.971073 20.971073 98.631073 98.631073
1370 20.962819 20.962819 98.622819 98.622819
1483 20.958984 20.958984 98.618984 98.618984
1489 20.934271 20.934271 98.594271 98.594271
1520 20.930409 20.930409 98.590409 98.590409
1623 20.928803 20.928803 98.588803 98.588803
1654 20.922733 20.922733 98.582733 98.582733
1720 20.917846 20.917846 98.577846 98.577846
1729 20.914984 20.914984 98.574984 98.574984
1756 20.908667 20.908667 98.568667 98.568667
1825 20.908011 20.908011 98.568011 98.568011
1880 20.901898 20.901898 98.561898 98.561898
2201 20.895671 20.895671 98.555671 98.555671
2535 20.895559 20.895559 98.555559 98.555559
2683 20.895374 20.895374 98.555374 98.555374
2744 20.894884 20.894884 98.554884 98.554884
2833 20.894464 20.894464 98.554464 98.554464
3161 20.894340 20.894340 98.554340 98.554340
3174 20.894273 20.894273 98.554273 98.554273
3261 20.894257 20.894257 98.554257 98.554257
3378 20.894213 20.894213 98.554213 98.554213
3422 20.894186 20.894186 98.554186 98.554186
3502 20.894149 20.894149 98.554149 98.554149
3512 20.894147 20.894147 98.554147 98.554147
3526 20.894072 20.894072 98.554072 98.554072
3789 20.894052 20.894052 98.554052 98.554052
3953 20.894049 20.894049 98.554049 98.554049
4009 20.894040 20.894040 98.554040 98.554040
4520 20.894040 20.894040 98.554040 98.554040
4612 20.894037 20.894037 98.554037 98.554037
4706 20.894037 20.894037 98.554037 98.554037
4744 20.894036 20.894036 98.554036 98.554036
4892 20.894035 20.894035 98.554035 98.554035
5107 20.894035 20.894035 98.554035 98.554035
5140 20.894034 20.894034 98.554034 98.554034
5372 20.894034 20.894034 98.554034 98.554034
5399 20.894034 20.894034 98.554034 98.554034
5620 20.894034 20.894034 98.554034 98.554034
5674 20.894034 20.894034 98.554034 98.554034
5755 20.894034 20.894034 98.554034 98.554034
5785 20.894034 20.894034 98.554034 98.554034
5792 20.894034 20.894034 98.554034 98.554034
6466 20.894034 20.894034 98.554034 98.554034
6479 20.894034 20.894034 98.554034 98.554034
6781 20.894034 20.894034 98.554034 98.554034
6947 20.894034 20.894034 98.554034 98.554034
7163 20.894034 20.894034 98.554034 98.554034
7990 20.894034 20.894034 98.554034 98.554034
8018 20.894034 20.894034 98.554034 98.554034
8044 20.894034 20.894034 98.554034 98.554034
8132 20.894034 20.894034 98.554034 98.554034
8204 20.894034 20.894034 98.554034 98.554034
8378 20.894034 20.894034 98.554034 98.554034
8470 20.894034 20.894034 98.554034 98.554034
8498 20.894034 20.894034 98.554034 98.554034
8590 20.894034 20.894034 98.554034 98.554034
8637 20.894034 20.894034 98.554034 98.554034
8676 20.894034 20.894034 98.554034 98.554034
8879 20.894034 20.894034 98.554034 98.554034
8909 20.894034 20.894034 98.554034 98.554034
9096 20.894034 20.894034 98.554034 98.554034
9286 20.894034 20.894034 98.554034 98.554034
9431 20.894034 20.894034 98.554034 98.554034
9898 20.894034 20.894034 98.554034 98.554034
9950 20.894034 20.894034 98.554034 98.554034
10301 20.894034 20.894034 98.554034 98.554034
10487 20.894034 20.894034 98.554034 98.554034
10602 20.894034 20.894034 98.554034 98.554034
11603 20.894034 20.894034 98.554034 98.554034
13180 20.894034 20.894034 98.554034 98.554034
50000 20.894034 20.894034 98.554034 98.554034
