"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
6159 142.275572 142.275572 -319.814428 -319.814428
6433 142.275572 142.275572 -319.814428 -319.814428
6472 142.275572 142.275572 -319.814428 -319.814428
6476 142.275572 142.275572 -319.814428 -319.814428
6518 142.275572 142.275572 -319.814428 -319.814428
6588 142.275572 142.275572 -319.814428 -319.814428
6673 142.275572 142.275572 -319.814428 -319.814428
6928 142.275572 142.275572 -319.814428 -319.814428
7259 142.275572 142.275572 -319.814428 -319.814428
7315 142.275572 142.275572 -319.814428 -319.814428
7373 142.275572 142.275572 -319.814428 -319.814428
7440 142.275572 142.275572 -319.814428 -319.814428
7543 142.275572 142.275572 -319.814428 -319.814428
7795 142.275572 142.275572 -319.814428 -319.814428
7813 142.275572 142.275572 -319.814428 -319.814428
7993 142.275572 142.275572 -319.814428 -319.814428
8032 142.275572 142.275572 -319.814428 -319.814428
8085 142.275572 142.275572 -319.814428 -319.814428
8091 142.275572 142.275572 -319.814428 -319.814428
8880 142.275572 142.275572 -319.814428 -319.814428
8970 142.275572 142.275572 -319.814428 -319.814428
9236 142.275572 142.275572 -319.814428 -319.814428
9305 142.275572 142.275572 -319.814428 -319.814428
9577 142.275572 142.275572 -319.814428 -319.814428
9659 142.275572 142.275572 -319.814428 -319.814428
9728 142.275572 142.275572 -319.814428 -319.814428
9769 142.275572 142.275572 -319.814428 -319.814428
9784 142.275572 142.275572 -319.814428 -319.814428
9849 142.275572 142.275572 -319.814428 -319.814428
9935 142.275572 142.275572 -319.814428 -319.814428
10024 142.275572 142.275572 -319.814428 -319.814428
10069 142.275572 142.275572 -319.814428 -319.814428
10401 142.275572 142.275572 -319.814428 -319.814428
10939 142.275572 142.275572 -319.814428 -319.814428
12007 142.275572 142.275572 -319.814428 -319.814428
50000 142.275572 142.275572 -319.814428 -319.814428
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 314.395294 314.395294 -147.694706 -147.694706
6 305.805787 305.805787 -156.284213 -156.284213
11 167.702478 167.702478 -294.387522 -294.387522
89 159.646286 159.646286 -302.443714 -302.443714
102 153.855423 153.855423 -308.234577 -308.234577
149 153.619537 153.619537 -308.470463 -308.470463
269 152.661307 152.661307 -309.428693 -309.428693
280 151.146244 151.146244 -310.943756 -310.943756
298 149.141254 149.141254 -312.948746 -312.948746
308 148.326467 148.326467 -313.763533 -313.763533
468 148.311648 148.311648 -313.778352 -313.778352
497 147.714385 147.714385 -314.375615 -314.375615
580 147.704747 147.704747 -314.385253 -314.385253
685 147.602464 147.602464 -314.487536 -314.487536
688 147.357454 147.357454 -314.732546 -314.732546
1181 147.344248 147.344248 -314.745752 -314.745752
1265 147.316393 147.316393 -314.773607 -314.773607
1393 147.294297 147.294297 -314.795703 -314.795703
1635 147.283572 147.283572 -314.806428 -314.806428
1642 147.277583 147.277583 -314.812417 -314.812417
1674 147.271486 147.271486 -314.818514 -314.818514
1774 147.270938 147.270938 -314.819062 -314.819062
1875 147.267634 147.267634 -314.822366 -314.822366
1899 147.253485 147.253485 -314.836515 -314.836515
2120 147.253455 147.253455 -314.836545 -314.836545
2169 147.253165 147.253165 -314.836835 -314.836835
2338 147.253127 147.253127 -314.836873 -314.836873
2586 147.252391 147.252391 -314.837609 -314.837609
2827 147.252030 147.252030 -314.837970 -314.837970
2863 147.251936 147.251936 -314.838064 -314.838064
2875 147.251907 147.251907 -314.838093 -314.838093
2962 147.251763 147.251763 -314.838237 -314.838237
3146 147.251696 147.251696 -314.838304 -314.838304
3294 147.251646 147.251646 -314.838354 -314.838354
3495 147.251591 147.251591 -314.838409 -314.838409
3813 147.251576 147.251576 -314.838424 -314.838424
3862 147.251576 147.251576 -314.838424 -314.838424
4003 147.251568 147.251568 -314.838432 -314.838432
4087 147.251564 147.251564 -314.838436 -314.838436
4144 147.251557 147.251557 -314.838443 -314.838443
4496 147.251557 147.251557 -314.838443 -314.838443
4635 147.251557 147.251557 -314.838443 -314.838443
4703 147.251555 147.251555 -314.838445 -314.838445
4775 147.251555 147.251555 -314.838445 -314.838445
4821 147.251554 147.251554 -314.838446 -314.838446
4859 147.251554 147.251554 -314.838446 -314.838446
5410 147.251554 147.251554 -314.838446 -314.838446
5615 147.251554 147.251554 -314.838446 -314.838446
5663 147.251554 147.251554 -314.838446 -314.838446
5717 147.251554 147.251554 -314.838446 -314.838446
5981 147.251554 147.251554 -314.838446 -314.838446
6092 147.251554 147.251554 -314.838446 -314.838446
6164 147.251554 147.251554 -314.838446 -314.838446
6290 147.251554 147.251554 -314.838446 -314.838446
6557 147.251554 147.251554 -314.838446 -314.838446
6617 147.251554 147.251554 -314.838446 -314.838446
6712 147.251554 147.251554 -314.838446 -314.838446
6756 147.251554 147.251554 -314.838446 -314.838446
6925 147.251554 147.251554 -314.838446 -314.838446
6948 147.251554 147.251554 -314.838446 -314.838446
7313 147.251554 147.251554 -314.838446 -314.838446
7514 147.251554 147.251554 -314.838446 -314.838446
7603 147.251554 147.251554 -314.838446 -314.838446
7677 147.251554 147.251554 -314.838446 -314.838446
7799 147.251554 147.251554 -314.838446 -314.838446
7901 147.251554 147.251554 -314.838446 -314.838446
8038 147.251554 147.251554 -314.838446 -314.838446
8127 147.251554 147.251554 -314.838446 -314.838446
8169 147.251554 147.251554 -314.838446 -314.838446
8324 147.251554 147.251554 -314.838446 -314.838446
8465 147.251554 147.251554 -314.838446 -314.838446
8607 147.251554 147.251554 -314.838446 -314.838446
8733 147.251554 147.251554 -314.838446 -314.838446
8815 147.251554 147.251554 -314.838446 -314.838446
8900 147.251554 147.251554 -314.838446 -314.838446
8964 147.251554 147.251554 -314.838446 -314.838446
9039 147.251554 147.251554 -314.838446 -314.838446
9532 147.251554 147.251554 -314.838446 -314.838446
9709 147.251554 147.251554 -314.838446 -314.838446
9755 147.251554 147.251554 -314.838446 -314.838446
9821 147.251554 147.251554 -314.838446 -314.838446
9860 147.251554 147.251554 -314.838446 -314.838446
10075 147.251554 147.251554 -314.838446 -314.838446
10151 147.251554 147.251554 -314.838446 -314.838446
10229 147.251554 147.251554 -314.838446 -314.838446
10421 147.251554 147.251554 -314.838446 -314.838446
50000 147.251554 147.251554 -314.838446 -314.838446
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1 2292.386693 2292.386693 1830.296693 1830.296693
3 472.363442 472.363442 10.273442 10.273442
4 170.343613 170.343613 -291.746387 -291.746387
9 118.131173 118.131173 -343.958827 -343.958827
15 117.291611 117.291611 -344.798389 -344.798389
43 113.144378 113.144378 -348.945622 -348.945622
47 103.485902 103.485902 -358.604098 -358.604098
50 98.496178 98.496178 -363.593822 -363.593822
205 89.488367 89.488367 -372.601633 -372.601633
214 67.984949 67.984949 -394.105051 -394.105051
221 66.084227 66.084227 -396.005773 -396.005773
233 63.951123 63.951123 -398.138877 -398.138877
311 63.143853 63.143853 -398.946147 -398.946147
