"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b" "best af(x)+b"
1671 14939.813664 14939.813664 14729.933664 14729.933664
1677 14912.830927 14912.830927 14702.950927 14702.950927
1681 14370.587065 14370.587065 14160.707065 14160.707065
1701 14119.122175 14119.122175 13909.242175 13909.242175
1706 14069.520488 14069.520488 13859.640488 13859.640488
1718 14005.904611 14005.904611 13796.024611 13796.024611
1722 13787.554609 13787.554609 13577.674609 13577.674609
1728 13761.206796 13761.206796 13551.326796 13551.326796
1729 13719.274957 13719.274957 13509.394957 13509.394957
1741 13676.836403 13676.836403 13466.956403 13466.956403
1742 13611.716826 13611.716826 13401.836826 13401.836826
1744 13457.767161 13457.767161 13247.887161 13247.887161
1750 13392.456401 13392.456401 13182.576401 13182.576401
1761 13279.670068 13279.670068 13069.790068 13069.790068
1763 13218.228353 13218.228353 13008.348353 13008.348353
1773 13062.487712 13062.487712 12852.607712 12852.607712
1784 12950.418861 12950.418861 12740.538861 12740.538861
1791 12657.644292 12657.644292 12447.764292 12447.764292
1804 12643.800417 12643.800417 12433.920417 12433.920417
1807 12572.672878 12572.672878 12362.792878 12362.792878
1809 12513.974884 12513.974884 12304.094884 12304.094884
1814 12352.931930 12352.931930 12143.051930 12143.051930
1815 12325.118878 12325.118878 12115.238878 12115.238878
1820 12216.021539 12216.021539 12006.141539 12006.141539
1821 12085.376872 12085.376872 11875.496872 11875.496872
1840 11959.242765 11959.242765 11749.362765 11749.362765
1842 11704.986001 11704.986001 11495.106001 11495.106001
1843 11700.194191 11700.194191 11490.314191 11490.314191
1861 11585.791911 11585.791911 11375.911911 11375.911911
1862 11466.600630 11466.600630 11256.720630 11256.720630
1880 11430.920298 11430.920298 11221.040298 11221.040298
1883 11336.718726 11336.718726 11126.838726 11126.838726
1888 11256.089116 11256.089116 11046.209116 11046.209116
1902 11015.727322 11015.727322 10805.847322 10805.847322
1921 10892.765693 10892.765693 10682.885693 10682.885693
1934 10788.421849 10788.421849 10578.541849 10578.541849
1941 10543.677181 10543.677181 10333.797181 10333.797181
1964 10516.825552 10516.825552 10306.945552 10306.945552
1965 10415.899356 10415.899356 10206.019356 10206.019356
1979 10377.899614 10377.899614 10168.019614 10168.019614
1981 10223.869711 10223.869711 10013.989711 10013.989711
